lobbyist_cleanname,trigger
Adam Eichberg,1
Adeline Hodge,1
Alexandra Garza,1
Allison Daley,1
Amber Valdez,1
Amy Redfern,1
Amy Stephens,1
Andrew Struttmann,1
Anne Barkis,1
Becky Brooks,1
Brett Moore,1
Brock Herzberg,1
Carolyn Siegel,1
Christine Staberg,1
Christopher Votoupal,1
Danny Mccarthy,1
David Skaggs,1
Diana Protopapa,1
Dianna Orf,1
Dianne Criswell,1
Edie Busam,1
Edward Bowditch,1
Elliot Williams,1
Eric Bergman,1
Erin Goff,1
Erin Silver,1
Ernestine Mondragon,1
Florangel Mendez,1
Garin Vorthmann,1
Gayle Berry,1
Greg Brophy,1
J. Artist,1
James Cole,1
Jeannie Vanderburg,1
Jeffrey Thormodsgaard,1
Jeffrey Weist,1
Jenifer Brandeberry,1
Jenise May,1
Jennifer Cassell,1
Jennifer Mello,1
Jennifer Miles,1
Jerel Mcelroy,1
Jesse Jensen,1
John Seman,1
Jonathan Labadie,1
Joseph Hayes,1
Julie Mckenna,1
Kathryn Wolf,1
Katie Dunn,1
Kayla Mcgannon,1
Kelley Brooks,1
Kelli Kelty,1
Kelly Sloan,1
Kevin Bommer,1
Kevin Paul,1
Kristen Thomson,1
Kweku Boafo,1
Lacee Artist,1
Lacey Hays,1
Landon Gates,1
Laura Long,1
Mary Hogan,1
Mary Marchun,1
Mary Steinemann,1
Matthew Lacrue,1
Megan Wagner,1
Meghan Dollar,1
Meghan Matthews,1
Melanie Layton,1
Melissa Osse,1
Michael Steppat,1
Micki Hackenberger,1
Moira Cullen,1
Morgan Cullen,1
P. Jones,1
Patrick Boyle,1
Rebecca Long,1
Rebecca Meyers,1
Richard Hicks,1
Richard Orf,1
Ruth Aponte,1
Sally Kline,1
Sara Boyd,1
Sara Odendahl,1
Scott Chase,1
Scott Spendlove,1
Sean Tonner,1
Shayne Madsen,1
Steven Palmer,1
Tanya Kelly-Bowry,1
Ted Orf,1
Travis Berry,1
William Coyne,1
Zoey Dewolf,1
